id,code,name
1,Africa/Abidjan,"Greenwich Mean Time"
2,Africa/Accra,"Ghana Mean Time"
3,Africa/Addis_Ababa,"Eastern Africa Time"
4,Africa/Algiers,"Central European Time"
5,Africa/Asmara,"Eastern Africa Time"
6,Africa/Asmera,"Eastern Africa Time"
7,Africa/Bamako,"Greenwich Mean Time"
8,Africa/Bangui,"Western African Time"
9,Africa/Banjul,"Greenwich Mean Time"
10,Africa/Bissau,"Greenwich Mean Time"
11,Africa/Blantyre,"Central Africa Time"
12,Africa/Brazzaville,"Western African Time"
13,Africa/Bujumbura,"Central Africa Time"
14,Africa/Cairo,"Eastern European Time"
15,Africa/Casablanca,"Western European Time"
16,Africa/Ceuta,"Central European Time"
17,Africa/Conakry,"Greenwich Mean Time"
18,Africa/Dakar,"Greenwich Mean Time"
19,Africa/Dar_es_Salaam,"Eastern Africa Time"
20,Africa/Djibouti,"Eastern Africa Time"
21,Africa/Douala,"Western African Time"
22,Africa/El_Aaiun,"Western European Time"
23,Africa/Freetown,"Greenwich Mean Time"
24,Africa/Gaborone,"Central Africa Time"
25,Africa/Harare,"Central Africa Time"
26,Africa/Johannesburg,"South Africa Time"
27,Africa/Juba,"Eastern Africa Time"
28,Africa/Kampala,"Eastern Africa Time"
29,Africa/Khartoum,"Eastern Africa Time"
30,Africa/Kigali,"Central Africa Time"
31,Africa/Kinshasa,"Western African Time"
32,Africa/Lagos,"Western African Time"
33,Africa/Libreville,"Western African Time"
34,Africa/Lome,"Greenwich Mean Time"
35,Africa/Luanda,"Western African Time"
36,Africa/Lubumbashi,"Central Africa Time"
37,Africa/Lusaka,"Central Africa Time"
38,Africa/Malabo,"Western African Time"
39,Africa/Maputo,"Central Africa Time"
40,Africa/Maseru,"South Africa Time"
41,Africa/Mbabane,"South Africa Time"
42,Africa/Mogadishu,"Eastern Africa Time"
43,Africa/Monrovia,"Greenwich Mean Time"
44,Africa/Nairobi,"Eastern Africa Time"
45,Africa/Ndjamena,"Western African Time"
46,Africa/Niamey,"Western African Time"
47,Africa/Nouakchott,"Greenwich Mean Time"
48,Africa/Ouagadougou,"Greenwich Mean Time"
49,Africa/Porto-Novo,"Western African Time"
50,Africa/Sao_Tome,"Greenwich Mean Time"
51,Africa/Timbuktu,"Greenwich Mean Time"
52,Africa/Tripoli,"Eastern European Time"
53,Africa/Tunis,"Central European Time"
54,Africa/Windhoek,"Western African Time"
55,America/Adak,"Hawaii-Aleutian Time"
56,America/Anchorage,"Alaska Time"
57,America/Anguilla,"Atlantic Time"
58,America/Antigua,"Atlantic Time"
59,America/Araguaina,"Brasilia Time"
60,America/Argentina/Buenos_Aires,"Argentine Time"
61,America/Argentina/Catamarca,"Argentine Time"
62,America/Argentina/ComodRivadavia,"Argentine Time"
63,America/Argentina/Cordoba,"Argentine Time"
64,America/Argentina/Jujuy,"Argentine Time"
65,America/Argentina/La_Rioja,"Argentine Time"
66,America/Argentina/Mendoza,"Argentine Time"
67,America/Argentina/Rio_Gallegos,"Argentine Time"
68,America/Argentina/Salta,"Argentine Time"
69,America/Argentina/San_Juan,"Argentine Time"
70,America/Argentina/San_Luis,"Argentine Time"
71,America/Argentina/Tucuman,"Argentine Time"
72,America/Argentina/Ushuaia,"Argentine Time"
73,America/Aruba,"Atlantic Time"
74,America/Asuncion,"Paraguay Time"
75,America/Atikokan,"Eastern Time"
76,America/Atka,"Hawaii-Aleutian Time"
77,America/Bahia,"Brasilia Time"
78,America/Bahia_Banderas,"Central Time"
79,America/Barbados,"Atlantic Time"
80,America/Belem,"Brasilia Time"
81,America/Belize,"Central Time"
82,America/Blanc-Sablon,"Atlantic Time"
83,America/Boa_Vista,"Amazon Time"
84,America/Bogota,"Colombia Time"
85,America/Boise,"Mountain Time"
86,America/Buenos_Aires,"Argentine Time"
87,America/Cambridge_Bay,"Mountain Time"
88,America/Campo_Grande,"Amazon Time"
89,America/Cancun,"Central Time"
90,America/Caracas,"Venezuela Time"
91,America/Catamarca,"Argentine Time"
92,America/Cayenne,"French Guiana Time"
93,America/Cayman,"Eastern Time"
94,America/Chicago,"Central Time"
95,America/Chihuahua,"Mountain Time"
96,America/Coral_Harbour,"Eastern Time"
97,America/Cordoba,"Argentine Time"
98,America/Costa_Rica,"Central Time"
99,America/Creston,"Mountain Time"
100,America/Cuiaba,"Amazon Time"
101,America/Curacao,"Atlantic Time"
102,America/Danmarkshavn,"Greenwich Mean Time"
103,America/Dawson,"Pacific Time"
104,America/Dawson_Creek,"Mountain Time"
105,America/Denver,"Mountain Time"
106,America/Detroit,"Eastern Time"
107,America/Dominica,"Atlantic Time"
108,America/Edmonton,"Mountain Time"
109,America/Eirunepe,"Acre Time"
110,America/El_Salvador,"Central Time"
111,America/Ensenada,"Pacific Time"
112,America/Fort_Wayne,"Eastern Time"
113,America/Fortaleza,"Brasilia Time"
114,America/Glace_Bay,"Atlantic Time"
115,America/Godthab,"Western Greenland Time"
116,America/Goose_Bay,"Atlantic Time"
117,America/Grand_Turk,"Atlantic Time"
118,America/Grenada,"Atlantic Time"
119,America/Guadeloupe,"Atlantic Time"
120,America/Guatemala,"Central Time"
121,America/Guayaquil,"Ecuador Time"
122,America/Guyana,"Guyana Time"
123,America/Halifax,"Atlantic Time"
124,America/Havana,"Cuba Time"
125,America/Hermosillo,"Mountain Time"
126,America/Indiana/Indianapolis,"Eastern Time"
127,America/Indiana/Knox,"Central Time"
128,America/Indiana/Marengo,"Eastern Time"
129,America/Indiana/Petersburg,"Eastern Time"
130,America/Indiana/Tell_City,"Central Time"
131,America/Indiana/Vevay,"Eastern Time"
132,America/Indiana/Vincennes,"Eastern Time"
133,America/Indiana/Winamac,"Eastern Time"
134,America/Indianapolis,"Eastern Time"
135,America/Inuvik,"Mountain Time"
136,America/Iqaluit,"Eastern Time"
137,America/Jamaica,"Eastern Time"
138,America/Jujuy,"Argentine Time"
139,America/Juneau,"Alaska Time"
140,America/Kentucky/Louisville,"Eastern Time"
141,America/Kentucky/Monticello,"Eastern Time"
142,America/Knox_IN,"Central Time"
143,America/Kralendijk,"Atlantic Time"
144,America/La_Paz,"Bolivia Time"
145,America/Lima,"Peru Time"
146,America/Los_Angeles,"Pacific Time"
147,America/Louisville,"Eastern Time"
148,America/Lower_Princes,"Atlantic Time"
149,America/Maceio,"Brasilia Time"
150,America/Managua,"Central Time"
151,America/Manaus,"Amazon Time"
152,America/Marigot,"Atlantic Time"
153,America/Martinique,"Atlantic Time"
154,America/Matamoros,"Central Time"
155,America/Mazatlan,"Mountain Time"
156,America/Mendoza,"Argentine Time"
157,America/Menominee,"Central Time"
158,America/Merida,"Central Time"
159,America/Metlakatla,"Pacific Time"
160,America/Mexico_City,"Central Time"
161,America/Miquelon,"Pierre & Miquelon Time"
162,America/Moncton,"Atlantic Time"
163,America/Monterrey,"Central Time"
164,America/Montevideo,"Uruguay Time"
165,America/Montreal,"Eastern Time"
166,America/Montserrat,"Atlantic Time"
167,America/Nassau,"Eastern Time"
168,America/New_York,"Eastern Time"
169,America/Nipigon,"Eastern Time"
170,America/Nome,"Alaska Time"
171,America/Noronha,"Fernando de Noronha Time"
172,America/North_Dakota/Beulah,"Central Time"
173,America/North_Dakota/Center,"Central Time"
174,America/North_Dakota/New_Salem,"Central Time"
175,America/Ojinaga,"Mountain Time"
176,America/Panama,"Eastern Time"
177,America/Pangnirtung,"Eastern Time"
178,America/Paramaribo,"Suriname Time"
179,America/Phoenix,"Mountain Time"
180,America/Port-au-Prince,"Eastern Time"
181,America/Port_of_Spain,"Atlantic Time"
182,America/Porto_Acre,"Acre Time"
183,America/Porto_Velho,"Amazon Time"
184,America/Puerto_Rico,"Atlantic Time"
185,America/Rainy_River,"Central Time"
186,America/Rankin_Inlet,"Central Time"
187,America/Recife,"Brasilia Time"
188,America/Regina,"Central Time"
189,America/Resolute,"Central Time"
190,America/Rio_Branco,"Acre Time"
191,America/Rosario,"Argentine Time"
192,America/Santa_Isabel,"Pacific Time"
193,America/Santarem,"Brasilia Time"
194,America/Santiago,"Chile Time"
195,America/Santo_Domingo,"Atlantic Time"
196,America/Sao_Paulo,"Brasilia Time"
197,America/Scoresbysund,"Eastern Greenland Time"
198,America/Shiprock,"Mountain Time"
199,America/Sitka,"Alaska Time"
200,America/St_Barthelemy,"Atlantic Time"
201,America/St_Johns,"Newfoundland Time"
202,America/St_Kitts,"Atlantic Time"
203,America/St_Lucia,"Atlantic Time"
204,America/St_Thomas,"Atlantic Time"
205,America/St_Vincent,"Atlantic Time"
206,America/Swift_Current,"Central Time"
207,America/Tegucigalpa,"Central Time"
208,America/Thule,"Atlantic Time"
209,America/Thunder_Bay,"Eastern Time"
210,America/Tijuana,"Pacific Time"
211,America/Toronto,"Eastern Time"
212,America/Tortola,"Atlantic Time"
213,America/Vancouver,"Pacific Time"
214,America/Virgin,"Atlantic Time"
215,America/Whitehorse,"Pacific Time"
216,America/Winnipeg,"Central Time"
217,America/Yakutat,"Alaska Time"
218,America/Yellowknife,"Mountain Time"
219,Antarctica/Casey,"Australian Western Time"
220,Antarctica/Davis,"Davis Time"
221,Antarctica/DumontDUrville,"Dumont-d'Urville Time"
222,Antarctica/Macquarie,"Macquarie Island Time"
223,Antarctica/Mawson,"Mawson Time"
224,Antarctica/McMurdo,"New Zealand Time"
225,Antarctica/Palmer,"Chile Time"
226,Antarctica/Rothera,"Rothera Time"
227,Antarctica/South_Pole,"New Zealand Time"
228,Antarctica/Syowa,"Syowa Time"
229,Antarctica/Troll,"Troll Time"
230,Antarctica/Vostok,"Vostok Time"
231,Arctic/Longyearbyen,"Central European Time"
